2112	11805	-2516
4528	17715	-2805
8258	18832	-3327
13582	17808	-4137
17556	15546	-4909
17641	13805	-5478
16405	13631	-5554
15883	11878	-5315
15565	9691	-5221
15160	6803	-5221
14556	3466	-5288
13574	403	-4997
12279	-2072	-5074
10749	-4199	-4725
9039	-6005	-4117
7431	-7529	-3276
6368	-8681	-2321
5884	-8993	-1364
5556	-8469	-417
5145	-7641	273
4776	-6913	591
4775	-6187	764
5433	-4973	911
6849	-2664	930
9109	985	767
12263	5447	450
15071	10174	74
15285	14223	131
13948	16546	145
12624	17030	-359
10372	16839	-520
7365	16549	-378
4241	15334	-455
1324	13209	-744
-1128	11087	-1090
-3229	9616	-1212
-5139	8533	-919
-6947	7328	-319
-8616	5935	343
-10009	4591	911
-11045	3522	1269
-11689	2898	1308
-11835	2655	1044
-11392	2507	637
-10491	2276	267
-9342	2039	85
-8045	1964	112
-6668	2089	312
-5291	2384	621
-3962	3050	856
-2743	4447	873
-1705	6892	610
-761	10541	128
438	14974	-333
2582	19006	-403
6077	21228	-532
10484	21181	-1417
13327	19521	-2522
12964	17111	-3239
11679	14484	-3692
11293	11688	-3974
11195	8614	-4018
10796	5371	-3841
10221	2322	-3478
9496	-327	-3172
8488	-2574	-3173
7294	-4496	-3348
6186	-6219	-3304
5405	-7536	-2908
4966	-8114	-2380
4726	-7864	-1805
4726	-7065	-1261
4470	-6162	-952
4854	-5353	-950
4732	-4526	-1075
4951	-3206	-996
5333	-810	-702
6022	-810	-169
7258	6870	450
9183	10971	1017
11164	13969	1591
11932	13910	1669
11288	15321	970
10362	15252	427
9266	14659	427
7058	14389	939
4755	14590	587
3307	13907	417
1567	11922	365
-647	9923	219
-2614	8491	268
-4205	7503	497
-5631	6509	799
-6973	5284	1045
-8231	3952	1139
-9276	2781	1098
-9883	1957	959
-9913	1565	745
-9409	1509	525
-8561	1551	383
-7538	1639	348
-6429	1902	359
-5319	2396	363
-4257	3105	334
-3261	4231	250
-2277	5998	57
-1290	8379	-197
-306	11232	-376
965	14088	-435
3060	16426	-602
6035	17772	-1033
8899	17861	-1699
10157	16836	-2564
9839	14871	-3503
9530	12323	-4234
9744	9713	-4517
